iter,model,coef,estimate
49,poisson,effect::Cleanup,0.00420255089563962
49,poisson,effect::Threat,0.00427104576554141
49,poisson,effect::Impact,0.00746779544868304
50,logit,effect::Cleanup,-0.0522286727500351
50,logit,effect::Threat,-0.039237500326479
50,logit,effect::Impact,0.00893692116323104
50,poisson,effect::Cleanup,0.00292095195454755
50,poisson,effect::Threat,0.00337145142719856
50,poisson,effect::Impact,0.00500365979699499
51,logit,effect::Cleanup,-0.06224765110687
51,logit,effect::Threat,-0.0187481710777443
51,logit,effect::Impact,-0.0082692818051009
51,poisson,effect::Cleanup,0.0046536237853684
51,poisson,effect::Threat,0.00470207694859082
51,poisson,effect::Impact,0.00960299969822771
52,logit,effect::Cleanup,-0.0369443675721378
52,logit,effect::Threat,-0.0346670488479535
52,logit,effect::Impact,0.0156266790050997
52,poisson,effect::Cleanup,0.00518949561766887
52,poisson,effect::Threat,0.00511783840010675
52,poisson,effect::Impact,0.00534547270642551
53,logit,effect::Cleanup,-0.0474616865049744
53,logit,effect::Threat,-0.00334618977632405
53,logit,effect::Impact,-0.0378310684374821
53,poisson,effect::Cleanup,0.00429701966033491
53,poisson,effect::Threat,0.00342986023171063
53,poisson,effect::Impact,-0.000489137809307302
54,logit,effect::Cleanup,-0.0452579666930473
54,logit,effect::Threat,-0.0119743163788364
54,logit,effect::Impact,-0.019893080687304
54,poisson,effect::Cleanup,0.00303783532054184
54,poisson,effect::Threat,0.0032431062874068
54,poisson,effect::Impact,0.0102137330192107
55,logit,effect::Cleanup,-0.0420942794429748
55,logit,effect::Threat,0.000541911437179687
55,logit,effect::Impact,-0.060098660476034
55,poisson,effect::Cleanup,0.00520210413491128
55,poisson,effect::Threat,0.00384035286058532
55,poisson,effect::Impact,-0.00240867493173113
56,logit,effect::Cleanup,-0.0730623456599349
56,logit,effect::Threat,-0.0410266324794135
56,logit,effect::Impact,0.131093497051943
56,poisson,effect::Cleanup,0.0048571736604223
56,poisson,effect::Threat,0.00449520109393351
56,poisson,effect::Impact,-0.00116934491200926
57,logit,effect::Cleanup,-0.0265098704724955
57,logit,effect::Threat,-0.0176943183415651
57,logit,effect::Impact,-0.0552236851669892
57,poisson,effect::Cleanup,0.00420694984899559
57,poisson,effect::Threat,0.00432063608231861
57,poisson,effect::Impact,0.00547341008538744
58,logit,effect::Cleanup,-0.00522656772430368
58,logit,effect::Threat,-0.0238689786229949
58,logit,effect::Impact,-0.137332562989922
58,poisson,effect::Cleanup,0.00323214768737049
58,poisson,effect::Threat,0.00547536804571283
58,poisson,effect::Impact,0.000244587183838958
59,logit,effect::Cleanup,-0.0870994693751326
59,logit,effect::Threat,0.0188054811516031
59,logit,effect::Impact,-0.0113449259429361
59,poisson,effect::Cleanup,0.00300118764785528
59,poisson,effect::Threat,0.00502472850943682
59,poisson,effect::Impact,0.00012868608743272
60,logit,effect::Cleanup,-0.068962821299234
60,logit,effect::Threat,-0.0158840208800852
60,logit,effect::Impact,-0.0418364879875986
60,poisson,effect::Cleanup,0.0026088169046841
60,poisson,effect::Threat,0.00197025177180841
60,poisson,effect::Impact,0.00415030134263556
61,logit,effect::Cleanup,-0.00976213003064829
61,logit,effect::Threat,-0.04032745906945
61,logit,effect::Impact,0.0539703697386959
61,poisson,effect::Cleanup,0.00393933864611806
61,poisson,effect::Threat,0.00459528965743094
61,poisson,effect::Impact,0.0041119567917052
62,logit,effect::Cleanup,0.00510317978150889
62,logit,effect::Threat,-0.0511493042415483
62,logit,effect::Impact,0.0622837185122452
62,poisson,effect::Cleanup,0.00465137034665534
62,poisson,effect::Threat,0.00449342058840277
62,poisson,effect::Impact,-0.000154453911389411
63,logit,effect::Cleanup,-0.0546439900120261
63,logit,effect::Threat,-0.0291023861773682
63,logit,effect::Impact,-0.0791524637169384
63,poisson,effect::Cleanup,0.00376629360142419
63,poisson,effect::Threat,0.00462921562865359
63,poisson,effect::Impact,0.000535660368291438
64,logit,effect::Cleanup,-0.00258941873926322
64,logit,effect::Threat,-0.00194316055937526
64,logit,effect::Impact,-0.0521373192282232
64,poisson,effect::Cleanup,0.00321912423013784
64,poisson,effect::Threat,0.00399573680438858
64,poisson,effect::Impact,0.00214688532486534
65,logit,effect::Cleanup,-0.0103576516508193
65,logit,effect::Threat,-0.0624381525477886
65,logit,effect::Impact,-0.00287654387085155
65,poisson,effect::Cleanup,0.00443875452985187
65,poisson,effect::Threat,0.00363462889987135
65,poisson,effect::Impact,0.000836477419283272
66,logit,effect::Cleanup,-0.0119919462934412
66,logit,effect::Threat,-0.0460304137718702
66,logit,effect::Impact,-0.0146495525064445
66,poisson,effect::Cleanup,0.00389839965665488
66,poisson,effect::Threat,0.00558688070094235
66,poisson,effect::Impact,0.000572480510552903
67,logit,effect::Cleanup,-0.0284001160132602
67,logit,effect::Threat,-0.0503279962233187
67,logit,effect::Impact,-0.0872328495715961
67,poisson,effect::Cleanup,0.00375463239691338
67,poisson,effect::Threat,0.00357973701442969
67,poisson,effect::Impact,0.00182765331237633
68,logit,effect::Cleanup,-0.0381981712158173
68,logit,effect::Threat,-0.0403029217211945
68,logit,effect::Impact,0.0635579204916987
68,poisson,effect::Cleanup,0.00463040990591528
68,poisson,effect::Threat,0.00357654132608176
68,poisson,effect::Impact,0.0010608742563962
69,logit,effect::Cleanup,-0.00815887354100368
69,logit,effect::Threat,-0.0375702882606792
69,logit,effect::Impact,-0.0651796366603483
69,poisson,effect::Cleanup,0.00351795584091305
69,poisson,effect::Threat,0.00474015948700236
69,poisson,effect::Impact,0.00322028700416584
70,logit,effect::Cleanup,-0.0225736847936834
70,logit,effect::Threat,-0.0546708631982112
70,logit,effect::Impact,0.0981800108770291
70,poisson,effect::Cleanup,0.00485747199167285
70,poisson,effect::Threat,0.00442695946746758
70,poisson,effect::Impact,0.000405426341200552
71,logit,effect::Cleanup,-0.0294195044554603
71,logit,effect::Threat,-0.0298768462140326
71,logit,effect::Impact,-0.0757835542496854
71,poisson,effect::Cleanup,0.00542637005111318
71,poisson,effect::Threat,0.00344426637034022
71,poisson,effect::Impact,0.0030044203224842
72,logit,effect::Cleanup,-0.0291666884908681
72,logit,effect::Threat,-0.0242631968624469
72,logit,effect::Impact,0.0997204417486232
72,poisson,effect::Cleanup,0.00529592955551319
72,poisson,effect::Threat,0.00350498922730551
72,poisson,effect::Impact,0.00374183663427076
73,logit,effect::Cleanup,-0.0129523969314757
73,logit,effect::Threat,-0.0172484133598055
73,logit,effect::Impact,0.0290449750390932
